dsld_id,name_en,name_ja,brand,serving_size,category,upc
DSLD_73374497,DHA-500,DHA-500,NOW Foods,1 serving,vitamins,73374497
DSLD_73370161,DHA-500,DHA-500,NOW Foods,1 serving,vitamins,73370161
DSLD_733739016133,DHA-500,DHA-500,NOW Foods,1 serving,vitamins,733739016133
DSLD_733739059819,Whole Psyllium Husks,Whole Psyllium Husks,NOW Foods,1 serving,supplements,733739059819
DSLD_733739069214,Organic erythritol,Organic erythritol,NOW Foods,1 serving,supplements,733739069214
DSLD_733739070418,"Organic Raw Almonds, Unsalted","Organic Raw Almonds, Unsalted",NOW Foods,1 serving,supplements,733739070418
DSLD_733739069191,Instant Tabs Zero-Calorie Sweetener,Instant Tabs Zero-Calorie Sweetener,NOW Foods,1 serving,supplements,733739069191
DSLD_733739070227,Organic Brazil nuts unsalted,Organic Brazil nuts unsalted,NOW Foods,1 serving,supplements,733739070227
DSLD_733739071248,Organic Monk Fruit,Organic Monk Fruit,NOW Foods,1 serving,supplements,733739071248
DSLD_733739066763,Organic raw cacao nibs,Organic raw cacao nibs,NOW Foods,1 serving,supplements,733739066763
DSLD_733739016539,Omega 3,Omega 3,NOW Foods,1 serving,fatty_acids,733739016539
DSLD_733739070128,Whole Raw Brazil Nuts Unsalted,Whole Raw Brazil Nuts Unsalted,NOW Foods,1 serving,supplements,733739070128
DSLD_733739023728,Sunflower Liquid Lecithin,Sunflower Liquid Lecithin,NOW Foods,1 serving,supplements,733739023728
DSLD_733739064103,Agar Powder,Agar Powder,NOW Foods,1 serving,supplements,733739064103
DSLD_733739024602,Nutritional Yeast Powder,Nutritional Yeast Powder,NOW Foods,1 serving,supplements,733739024602
DSLD_733739071200,Organic Monk Fruit Extract Powder,Organic Monk Fruit Extract Powder,NOW Foods,1 serving,supplements,733739071200
DSLD_IHERB_00000042,now Real Food Whole Wheat Sesame Sticks,now Real Food Whole Wheat Sesame Sticks,NOW Foods,1 serving,supplements,3972706
DSLD_811892028801,Guacamole Now Squeeze Mild,Guacamole Now Squeeze Mild,Cabo Fresh,1 serving,supplements,811892028801
DSLD_733739066817,Organic Slender Hot Cocoa,Organic Slender Hot Cocoa,NOW Foods,1 serving,supplements,733739066817
DSLD_733739070234,Organic Raw Pumpkin Seeds Unsalted,Organic Raw Pumpkin Seeds Unsalted,NOW Foods,1 serving,supplements,733739070234
DSLD_733739070739,Raw Walnuts Unsalted,Raw Walnuts Unsalted,NOW Foods,1 serving,supplements,733739070739
DSLD_733739070746,Organic Raw Walnuts Unsalted,Organic Raw Walnuts Unsalted,NOW Foods,1 serving,supplements,733739070746
DSLD_733739869838,Xylitol,Xylitol,NOW Foods,1 serving,supplements,733739869838
DSLD_733739064110,Agar powder,Agar powder,NOW Foods,1 serving,supplements,733739064110
DSLD_733739070258,Raw Pumpkin Seeds Unsalted,Raw Pumpkin Seeds Unsalted,NOW Foods,1 serving,supplements,733739070258
DSLD_733739062444,Organic Chia Seed,Organic Chia Seed,NOW Foods,1 serving,supplements,733739062444
DSLD_733739070166,Organic Raw Pine Nuts,Organic Raw Pine Nuts,NOW Foods,1 serving,supplements,733739070166
DSLD_733739000866,"Now Foods, Cna,600 MG,250 Veggie Caps.","Now Foods, Cna,600 MG,250 Veggie Caps.",NOW Foods,1 serving,supplements,733739000866
DSLD_733739004710,"Now Foods Biotin 5000mcg, 60 Vcaps","Now Foods Biotin 5000mcg, 60 Vcaps",NOW Foods,1 serving,supplements,733739004710
DSLD_733739050403,Guar Gum,Guar Gum,NOW Foods,1 serving,supplements,733739050403
DSLD_733739059963,Stabilized Rice Bran,Stabilized Rice Bran,NOW Foods,1 serving,supplements,733739059963
DSLD_733739073204,Citric acid,Citric acid,NOW Foods,1 serving,supplements,733739073204
DSLD_733739033086,"Now Foods, Candida Klar, 90 Vcaps &#91;körperpflege&#93;","Now Foods, Candida Klar, 90 Vcaps &#91;körperpflege&#93;",NOW Foods,1 serving,supplements,733739033086
DSLD_733739069023,Organic Confectioner's Erythritol,Organic Confectioner's Erythritol,NOW Foods,1 serving,supplements,733739069023
DSLD_733739864109,Agar Powder,Agar Powder,NOW Foods,1 serving,supplements,733739864109
DSLD_733739012951,Magnesium Citrate Pure Powder,Magnesium Citrate Pure Powder,NOW Foods,1 serving,minerals,733739012951
DSLD_733739071149,Organic Pumpkin Spice Monk Fruit,Organic Pumpkin Spice Monk Fruit,NOW Foods,1 serving,supplements,733739071149
DSLD_733739069603,Organic Extract Powder Zero-Calorie Sweetener,Organic Extract Powder Zero-Calorie Sweetener,NOW Foods,1 serving,supplements,733739069603
DSLD_733739069863,Xylitol,Xylitol,NOW Foods,1 serving,supplements,733739069863
DSLD_719196200322,"Tipu's Chai Now, Chai Tea Latte","Tipu's Chai Now, Chai Tea Latte",Vassallo Foods  Inc.,1 serving,supplements,719196200322
DSLD_719196200353,"Tipu's Chai Now, Sweetened Chai Tea","Tipu's Chai Now, Sweetened Chai Tea",Vassallo Foods  Inc.,1 serving,supplements,719196200353
DSLD_733739017260,Organic Virgin Coconut Oil,Organic Virgin Coconut Oil,NOW Foods,1 serving,supplements,733739017260
DSLD_733739018809,Wheat Germ Oil Liquid,Wheat Germ Oil Liquid,NOW Foods,1 serving,supplements,733739018809
DSLD_733739056986,Organic GoldenBerries,Organic GoldenBerries,NOW Foods,1 serving,supplements,733739056986
DSLD_733739057006,Mango Slices,Mango Slices,NOW Foods,1 serving,supplements,733739057006
DSLD_733739062413,Organic White Chia Seeds,Organic White Chia Seeds,NOW Foods,1 serving,supplements,733739062413
DSLD_733739063144,Organic Tri-Color Quinoa,Organic Tri-Color Quinoa,NOW Foods,1 serving,supplements,733739063144
DSLD_733739066718,Certified Organic Hot Cocoa,Certified Organic Hot Cocoa,NOW Foods,1 serving,supplements,733739066718
DSLD_733739069092,Organic Agave Nectar Amber,Organic Agave Nectar Amber,NOW Foods,1 serving,supplements,733739069092
DSLD_733739069221,Liquid Sweetener,Liquid Sweetener,NOW Foods,1 serving,supplements,733739069221
DSLD_733739070524,Organic Raw Sunflower Seeds Unsalted,Organic Raw Sunflower Seeds Unsalted,NOW Foods,1 serving,supplements,733739070524
DSLD_733739070661,"Organic Whole, Raw Cashews Unsalted","Organic Whole, Raw Cashews Unsalted",NOW Foods,1 serving,supplements,733739070661
DSLD_733739070678,Roasted Cashews Lightly Sea Salted,Roasted Cashews Lightly Sea Salted,NOW Foods,1 serving,supplements,733739070678
